ST250Q02JA,ST250Q03JA,ST250Q05JA,ST006Q03JA,ST008Q03JA,SC183Q02JA,SC183Q04JA,SC184Q01JA,SC184Q02JA,SC184Q03JA,SC184Q04JA,SC184Q05JA,SC184Q06JA,SC184Q07JA,SC215Q01JA,SC217Q04JA,SC217Q05JA,PRIVATESCH,ST250D06JA,ST250D07JA,ST251D08JA,ST251D09JA,ST259Q01JA,ST251Q03JA,ST251Q04JA,ST253Q01JA,ST254Q01JA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA,ST268Q07JA,ST268Q08JA,ST268Q09JA,ST337Q03JA,ST337Q04JA,ST337Q05JA,ST337Q06JA,ST337Q07JA,ST337Q08JA,ST338Q01JA,ST338Q02JA,ST338Q03JA,ST338Q04JA,ST338Q05JA,ST338Q06JA,ST338Q07JA,ST338Q08JA,ST341Q01JA,ST341Q02JA,ST341Q04JA,ST341Q05JA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q08TA,SC017Q02NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q09JA,SC017Q10JA,SC061Q11HA,SC155Q08HA,SC182Q06WA02,SC182Q07JA02,SC182Q08JA02,SC172Q04JA,SC172Q07JA,SC173Q05JA,SC202Q01JA,SC202Q03JA,SC202Q04JA,SC202Q05JA,SC202Q08JA,SC204Q02JA,SC204Q05JA,SC205Q01JA,SC205Q02JA,SC205Q03JA,SC205Q05JA,SC205Q07JA,SC208Q01JA,SC208Q02JA,SC208Q03JA,SC208Q04JA,SC208Q07JA,SC208Q08JA,SC208Q09JA,SC216Q01JA,SC216Q03JA,SC216Q07JA,SC222Q02JA,SC223Q01JA,SC223Q05JA,SC223Q09JA,SCHLTYPE,SCSUPRTED,FL164Q02HA,FL164Q03HA,FL164Q04HA,FL164Q05HA,FL164Q06HA,FL164Q07HA,FL164Q08HA,FL164Q11HA,FL164Q15HA,FL164Q16HA,FL166Q05HA,FL166Q06HA,FL166Q07HA,FL174Q05JA,FL174Q07JA,FL167Q01HA,FL167Q05HA,FL162Q01HA,FL162Q02HA,FL162Q03HA,FL162Q04HA,FL162Q05HA,FL162Q06HA,FL163Q01HA,FL163Q03HA,FL163Q04HA,FL163Q05HA,FL171Q03JA,FL171Q04JA,FL171Q05JA,FL171Q07JA,FL171Q10JA,FL171Q11JA,FL169Q03HA,FL169Q04HA,FL169Q08JA,FL169Q10JA,PROGN,GRADE,SRESPCUR,SRESPRES,RCORE_PERF,RCO1S_PERF,RS2_TEST,VER_DAT_stu,ISCEDP,MCLSIZE,CLSIZE,VER_DAT,clase_lca,score_rendimiento,prob_clase_0,prob_clase_1,prob_clase_2,prob_clase_3,prob_clase_4,prob_clase_5,prob_clase_6
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,2,2,3,0,0,1,0,1,2,1,1,0,0,0,0,3,2,3,3,2,2,4,0,2,2,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,1,1,1,0,0,0,0,0,3,491.54746666666665,6.106457819655594e-23,9.139123063846464e-08,7.667127560988962e-125,0.9999999086087754,7.773193117859147e-18,2.5921872741847055e-18,4.9482792182600965e-177
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,9,1,1,5,0,1,2,0,1,2,1,1,1,1,0,1,1,0,0,1,0,2,2,0,0,0,2,0,0,1,1,0,1,1,1,1,1,0,3,3,2,2,2,1,2,2,2,0,0,0,3,0,0,2,3,3,5,3,0,0,1,1,0,1,0,2,0,0,1,0,0,1,2,2,2,3,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,0,0,0,0,3,3,0,0,1,1,2,3,1,1,1,1,1,0,0,1,0,3,2,1,1,0,1,3,4,5,1,1,1,1,1,0,0,1,6,592.4375333333334,2.3289712180260238e-30,1.86477113326367e-59,7.31432540920961e-11,1.3692987031007879e-78,2.2654590986221723e-74,5.1953369460014445e-78,0.9999999999268567
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,5,2,2,7,0,0,0,0,0,1,0,0,0,0,0,4,3,2,3,2,0,0,2,1,0,1,2,0,0,3,2,0,1,0,0,1,1,0,3,3,2,2,2,1,2,2,0,0,0,0,3,0,0,4,1,3,5,3,1,1,1,1,1,1,1,2,2,1,1,0,0,1,2,2,2,3,1,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,1,2,2,2,2,0,0,1,0,0,1,0,1,0,1,3,4,5,1,1,1,1,1,3,3,1,6,501.3022666666667,1.4550876708897014e-42,1.9834509460678635e-94,3.355206149069366e-05,7.592147574664379e-73,5.444972918289224e-75,3.451223759818992e-76,0.9999664479385099
0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,2,1,0,2,1,1,2,0,1,2,0,0,0,2,0,0,1,0,0,1,1,0,1,1,0,3,1,3,3,2,3,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,1,1,1,0,2,1,1,1,0,1,1,0,0,0,1,0,0,0,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,1,1,1,1,1,1,1,1,1,1,5,420.0467333333333,1.829624562187528e-14,8.660388418743744e-29,3.261447994966672e-94,1.4719908856706344e-22,8.984032768779885e-17,0.9999999999999858,9.886957573252654e-120
0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,2,0,3,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,3,2,1,0,1,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,0,0,2,0,0,1,3,1,2,1,1,1,0,1,3,3,0,1,484.4973333333332,2.1717119521677436e-07,0.9983517667021024,2.9965728198616227e-120,9.354494915639031e-20,6.004814997213697e-17,0.001648016126699338,2.9140368193716044e-143
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,4,0,0,1,0,1,2,0,2,1,1,1,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,3,0,0,3,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,1,2,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,3,1,0,2,3,4,1,1,7,6,1,5,402.8226000000001,5.4405776709951225e-08,5.532687994490238e-109,5.933841645453501e-88,5.85187724357802e-20,3.830433194993192e-16,0.9999999455942273,1.3138068633856132e-111
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,2,1,1,0,0,0,3,3,4,4,4,3,5,4,5,0,5,5,5,5,3,2,0,2,0,0,0,2,1,3,3,3,2,2,0,0,1,1,0,2,2,3,0,2,1,0,0,0,0,0,0,1,1,1,3,1,2,2,1,1,0,0,1,1,1,1,2,1,2,2,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,2,2,1,1,1,0,1,0,0,0,4,420.2280999999999,4.072981545310947e-21,4.975948904449578e-109,4.921304086669083e-128,0.000295275082135348,0.9997047249178622,7.044940217828747e-15,9.95093767995457e-176
1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,3,4,0,0,3,1,0,1,0,0,1,0,0,1,1,1,2,5,5,5,5,4,3,3,2,4,3,4,4,4,0,0,0,1,1,1,1,1,0,1,1,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,5,3,1,1,1,1,2,1,1,2,1,1,1,0,2,1,2,2,3,2,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,3,2,3,2,2,2,2,1,1,1,2,3,1,1,0,1,0,1,3,2,2,1,1,1,0,1,0,0,0,4,369.4513333333333,1.3554163790302798e-16,6.378138149397754e-104,1.5324460683383792e-46,1.4091602495833289e-11,0.9999999999859028,6.347882746162662e-39,5.654271590110049e-110
1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,5,0,0,4,0,0,3,0,1,2,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,3,3,2,2,2,1,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,3,0,2,2,1,1,0,1,1,0,2,3,2,0,2,1,0,0,2,2,1,1,1,1,1,1,2,2,1,1,1,1,3,1,1,1,2,1,1,0,1,1,0,0,0,2,0,0,1,1,3,0,0,1,0,1,3,1,1,1,1,1,0,1,5,5,0,4,345.3987333333334,1.2692617075765029e-11,1.163871284535538e-74,1.5480024795902674e-96,2.1840642023685384e-11,0.9999999999654676,5.829998963181118e-19,4.488164499443024e-124
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,6,0,0,3,0,0,0,0,1,2,1,1,0,0,0,1,4,5,4,4,3,3,5,1,5,3,5,5,5,0,0,3,1,1,1,1,1,0,1,1,2,2,2,1,2,2,2,1,0,0,3,0,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,3,3,2,3,1,1,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,4,1,2,3,2,0,0,1,2,1,3,4,5,1,1,1,1,1,0,5,1,2,481.3436666666666,1.3279689261415896e-81,7.283564365305465e-128,1.0,9.829131569174046e-98,3.5329414890590887e-88,5.1007639260509256e-102,3.232363249200249e-15
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,3,2,2,0,0,0,0,0,0,1,0,2,0,0,0,5,2,1,2,2,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,3,3,3,1,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,1,0,1,0,1,1,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,2,0,1,2,1,1,1,1,2,3,1,2,1,2,0,0,0,0,0,0,0,0,1,2,1,3,1,0,2,3,4,3,1,0,0,3,0,441.8556999999999,0.999949719791979,2.2808312452602565e-48,1.355340188215107e-114,4.5166717695031154e-14,1.214977888827249e-09,5.027899300026003e-05,6.390053093534445e-141
1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,2,1,0,0,0,3,0,3,0,0,0,0,0,1,1,1,1,1,1,1,2,2,0,1,0,0,0,1,1,1,2,1,1,2,0,1,0,0,0,1,2,2,2,1,2,1,0,0,0,1,2,1,1,3,2,2,3,2,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,268.20413333333323,0.9998577033947548,1.0180758470422722e-86,2.6793967507395388e-151,2.3116922091121593e-17,5.653752454443216e-14,0.0001422966051921278,1.4308377604716763e-174
1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,4,0,2,3,0,0,0,0,0,1,0,0,0,1,1,0,2,0,1,2,0,4,4,3,2,2,3,3,3,1,1,0,0,1,1,1,1,0,1,1,2,3,0,3,3,0,0,9,8,7,1,1,3,1,0,0,0,5,0,0,1,1,1,1,1,2,2,1,1,0,0,1,0,0,0,3,1,1,1,0,1,2,0,0,1,0,0,0,1,2,0,2,0,1,0,3,1,0,1,0,0,1,1,3,1,1,1,1,2,0,2,1,0,0,0,0,1,0,1,3,0,0,1,1,1,0,1,0,0,0,3,557.8080666666667,2.49621954432773e-14,6.562057128703633e-123,1.0104433048952006e-152,0.9999999999999716,9.254779001188457e-67,1.3531112578846255e-73,9.899313246418455e-189
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,0,0,0,0,3,0,0,1,1,1,1,0,0,2,1,1,0,0,1,1,1,1,2,0,1,0,0,0,2,2,2,1,1,2,1,2,2,2,1,1,1,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,4,0,1,1,1,1,1,3,3,1,5,351.6512,3.364272351039587e-10,3.7024392674611337e-60,2.8304380951234214e-101,7.587094222205621e-22,9.875841763158091e-19,0.9999999996635722,1.7338414984477674e-124
0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,2,1,5,2,2,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,3,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,2,2,2,2,2,2,0,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,3,1,3,2,2,2,2,1,2,4,4,1,2,0,0,1,1,0,0,0,2,0,0,1,1,1,0,0,4,4,0,0,348.5925333333334,0.999998522209791,6.23887178743229e-126,1.9424733058620099e-109,7.293827850123548e-18,7.245279808601866e-13,1.4777894767758714e-06,3.4542296906176466e-133
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,7,2,2,3,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,3,3,2,2,2,1,2,2,2,0,1,0,3,0,1,2,3,3,5,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,2,2,3,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,2,5,1,1,1,1,1,3,3,1,6,459.5018333333333,5.133846688737512e-32,2.7637202514602725e-09,1.1593171944020061e-16,1.53979473842619e-79,4.816970813839277e-80,4.3402026936295355e-60,0.999999997236273
0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,2,2,0,1,0,3,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,1,1,3,2,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,2,1,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,1,1,1,0,0,3,1,5,343.3645333333334,6.061667244020696e-07,0.044584426194697456,2.445779835964062e-80,6.959724238466672e-22,4.0853790031175114e-19,0.955414967638575,8.177785990068326e-102
1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,2,1,7,2,2,6,1,0,0,0,1,2,1,0,1,1,1,4,2,0,2,2,0,0,2,0,0,0,2,0,0,3,2,3,2,1,0,1,1,0,3,3,3,3,2,1,2,2,0,0,0,0,3,0,3,2,1,1,3,4,0,0,1,0,0,2,0,2,2,0,0,0,1,0,2,2,3,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,2,0,4,2,1,3,1,0,1,0,1,3,4,5,1,1,1,2,1,0,0,2,6,436.9187333333335,1.4347497338906965e-54,4.155731442768015e-84,1.3026020063134192e-10,2.1947607261688298e-103,3.0437767135053207e-103,3.365357443631928e-81,0.9999999998697433
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,3,3,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,5,0,0,0,1,1,1,2,0,2,2,1,1,0,0,1,1,1,0,2,1,1,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,2,2,3,2,3,2,2,2,2,0,0,0,0,0,0,2,3,0,3,0,1,3,2,1,1,1,1,0,4,5,1,5,302.5036666666666,6.996285967404256e-07,4.821488445480485e-62,8.189502148572574e-58,6.8348657085335155e-22,3.894803215281017e-17,0.9999993003714027,2.69396077525193e-93
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,2,2,5,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,2,0,2,2,2,0,0,2,0,4,1,0,3,1,0,0,0,1,0,1,3,3,3,2,2,3,0,0,0,0,0,3,1,2,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1,0,0,1,0,1,3,1,0,1,1,0,1,2,1,1,1,1,1,0,2,2,2,2,1,2,2,0,1,1,2,1,1,1,2,2,2,3,1,3,2,3,2,1,1,3,0,1,2,1,1,3,0,0,2,2,0,0,1,0,0,0,0,489.9483,0.9999999979962126,1.7975452682435006e-90,2.6214252682930273e-100,1.133270313168108e-13,2.0036598142972023e-09,1.142034755280153e-17,5.644624777759618e-130
1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,1,2,1,1,0,0,0,2,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,2,2,1,1,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,1,2,2,1,2,2,0,2,0,1,1,2,1,1,1,0,1,1,2,0,0,0,2,1,0,2,2,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,4,0,0,0,1,1,1,1,3,3,0,1,1,1,0,1,0,0,0,0,501.7955333333333,0.9998136369110902,6.791544967996389e-101,9.377626610602569e-138,6.50827233756209e-15,1.334407783464931e-11,0.00018636307555889973,3.454989500558441e-162
0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,2,2,7,2,2,7,1,0,0,0,2,1,2,2,0,0,0,3,5,5,5,5,4,3,3,2,2,3,4,4,4,1,0,3,2,1,1,1,0,1,3,3,3,3,2,3,1,2,1,0,0,0,1,1,3,1,0,0,0,0,1,1,1,1,1,0,0,2,2,1,1,2,2,2,0,1,1,2,1,1,2,0,1,0,1,0,1,0,0,0,2,2,2,2,2,1,0,2,3,3,2,1,2,3,3,2,3,3,2,3,0,3,1,0,0,1,2,1,2,1,1,3,1,0,0,0,4,1,1,0,0,1,4,340.72296666666665,1.1076369502275544e-17,2.597304940419276e-116,7.854089694454326e-99,8.70355119200559e-09,0.9999999912964483,2.222436131247373e-33,3.715086972753224e-138
1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,3,0,0,3,1,0,0,0,0,1,0,0,1,1,3,3,2,0,2,2,0,2,2,0,0,0,2,0,0,1,1,0,1,1,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,3,3,3,0,0,0,2,4,1,1,1,0,1,1,0,2,1,2,2,2,0,1,1,1,1,2,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,1,1,3,3,0,0,2,2,2,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,1,0,1,3,3,0,3,1,1,3,1,3,3,3,0,470.00683333333325,0.999991871037011,4.629430238557331e-148,2.8999773316497067e-116,2.27049132613395e-14,3.007246955028597e-12,8.128959966181637e-06,3.614203236568836e-142
1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,4,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,3,3,3,3,2,0,0,2,0,0,0,0,3,0,1,0,0,0,2,0,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,2,2,2,0,0,0,0,0,1,2,2,1,1,3,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3,1,1,3,1,1,0,1,0,0,0,0,503.5029666666668,0.9999955087918793,1.6028169376466674e-70,1.6176626346386997e-103,5.667305480628868e-15,1.5956664802616184e-15,4.49120810737624e-06,5.229435612924793e-128
1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,2,0,0,5,0,0,0,0,2,0,1,1,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,3,1,1,2,2,3,0,0,0,0,0,3,0,1,2,0,0,0,0,1,1,1,0,0,1,0,2,2,1,1,0,0,1,0,0,1,2,1,1,1,0,0,1,0,1,0,1,0,0,2,2,2,1,1,0,0,0,0,0,3,1,2,1,1,1,1,1,1,1,0,1,0,1,0,3,0,1,0,0,1,3,0,1,1,1,1,1,1,3,3,1,0,474.1609666666666,0.9981435998419719,2.0616607662669877e-68,6.569185375651284e-85,1.079484006866399e-15,8.895671970657042e-15,0.0018564001580216973,1.1963295020755619e-94
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,3,0,0,1,0,1,2,0,1,0,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,3,1,1,1,1,0,0,1,1,0,0,0,2,0,2,2,2,1,1,1,2,0,0,0,2,1,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3,3,1,2,3,4,0,1,0,0,0,1,350.13870000000003,0.05631778826825079,0.9436604332627122,4.222082915300318e-109,8.510188530159824e-19,1.8283661400724752e-17,2.1778469032537734e-05,1.2615537860075958e-119
0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,2,4,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,2,3,3,3,3,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,1,2,1,1,2,1,1,1,2,2,2,0,0,0,2,2,1,2,2,2,2,3,1,1,2,1,1,1,0,0,0,2,0,0,0,0,1,0,1,3,3,0,1,1,1,0,1,0,0,0,1,402.5475666666667,1.6017017629203965e-08,0.9999999837089463,1.1516138641585585e-119,5.533625808394287e-22,9.457264333135535e-20,2.74037831325056e-10,1.8432517823420125e-143
1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,2,5,2,2,6,0,0,0,0,0,1,1,0,0,1,0,4,3,2,3,3,2,4,4,3,2,2,3,3,5,0,0,1,0,0,0,1,1,0,3,3,2,2,2,3,1,2,2,4,7,0,3,0,3,4,3,3,5,4,0,0,0,1,0,2,0,0,2,1,0,0,0,1,1,1,0,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,0,2,1,3,2,1,2,3,2,3,2,2,2,2,1,1,4,0,0,1,2,0,1,0,1,3,4,5,3,2,3,1,1,6,7,1,2,548.6249999999999,3.654882090760374e-51,2.6115488032898026e-59,1.0,9.269192947605082e-63,6.882407059119053e-81,9.101009786731322e-131,4.699480572934914e-24
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,4,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,3,1,2,2,2,1,2,2,0,1,0,1,3,0,1,4,3,3,5,3,1,1,1,1,1,1,1,2,2,1,1,0,0,1,2,2,3,3,1,1,1,1,2,1,0,0,0,1,0,1,2,1,0,0,2,0,2,0,0,0,1,0,0,3,2,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,5,1,1,1,1,0,3,3,1,6,265.5815666666667,1.0411835024749034e-16,4.778413252907405e-75,1.3492408166104892e-19,2.057544113610325e-72,3.4812541726577696e-70,6.19012303114189e-55,1.0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,2,1,3,1,1,5,1,0,0,0,0,0,0,0,1,1,1,2,2,0,2,2,2,0,0,4,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,1,2,2,3,3,1,2,0,0,0,0,3,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,2,1,1,0,0,1,1,1,0,2,1,1,1,0,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2,0,1,2,2,1,1,3,2,3,2,1,2,1,2,0,0,3,0,0,0,1,2,0,1,3,4,5,1,1,1,1,1,3,3,1,6,448.79690000000005,4.456857130931131e-40,4.0878297975213904e-84,1.593299786918336e-07,4.4342449058969266e-61,1.0033882553521432e-58,1.2310014124363616e-65,0.999999840670027
1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,8,0,0,4,0,0,0,0,3,3,0,2,0,0,0,4,3,2,0,3,2,4,4,3,2,2,3,3,3,0,0,0,3,0,0,1,1,1,3,3,2,2,2,3,2,2,0,1,3,0,3,0,3,4,3,3,5,4,1,1,0,0,1,2,0,2,2,1,1,0,0,1,2,2,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,3,0,2,0,0,0,0,1,1,1,3,4,5,2,3,2,1,1,4,4,1,2,426.3130000000001,7.010150022352125e-59,2.5540888808531973e-77,1.0,7.504737850847066e-69,8.895672423868267e-90,1.075577265115728e-107,1.8866380934990014e-20
1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,3,2,3,3,4,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,3,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1,0,0,1,0,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,2,0,0,1,1,1,1,0,3,3,1,5,292.63196666666664,4.72962928440494e-12,3.255625179394764e-79,2.1985433205953594e-89,1.840966645530505e-13,9.165420888302118e-14,0.9999999999949978,2.172066217740852e-120
