ST250Q02JA,ST250Q03JA,ST250Q05JA,ST006Q03JA,ST008Q03JA,SC183Q02JA,SC183Q04JA,SC184Q01JA,SC184Q02JA,SC184Q03JA,SC184Q04JA,SC184Q05JA,SC184Q06JA,SC184Q07JA,SC215Q01JA,SC217Q04JA,SC217Q05JA,PRIVATESCH,ST250D06JA,ST250D07JA,ST251D08JA,ST251D09JA,ST259Q01JA,ST251Q03JA,ST251Q04JA,ST253Q01JA,ST254Q01JA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA,ST268Q07JA,ST268Q08JA,ST268Q09JA,ST337Q03JA,ST337Q04JA,ST337Q05JA,ST337Q06JA,ST337Q07JA,ST337Q08JA,ST338Q01JA,ST338Q02JA,ST338Q03JA,ST338Q04JA,ST338Q05JA,ST338Q06JA,ST338Q07JA,ST338Q08JA,ST341Q01JA,ST341Q02JA,ST341Q04JA,ST341Q05JA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q08TA,SC017Q02NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q09JA,SC017Q10JA,SC061Q11HA,SC155Q08HA,SC182Q06WA02,SC182Q07JA02,SC182Q08JA02,SC172Q04JA,SC172Q07JA,SC173Q05JA,SC202Q01JA,SC202Q03JA,SC202Q04JA,SC202Q05JA,SC202Q08JA,SC204Q02JA,SC204Q05JA,SC205Q01JA,SC205Q02JA,SC205Q03JA,SC205Q05JA,SC205Q07JA,SC208Q01JA,SC208Q02JA,SC208Q03JA,SC208Q04JA,SC208Q07JA,SC208Q08JA,SC208Q09JA,SC216Q01JA,SC216Q03JA,SC216Q07JA,SC222Q02JA,SC223Q01JA,SC223Q05JA,SC223Q09JA,SCHLTYPE,SCSUPRTED,FL164Q02HA,FL164Q03HA,FL164Q04HA,FL164Q05HA,FL164Q06HA,FL164Q07HA,FL164Q08HA,FL164Q11HA,FL164Q15HA,FL164Q16HA,FL166Q05HA,FL166Q06HA,FL166Q07HA,FL174Q05JA,FL174Q07JA,FL167Q01HA,FL167Q05HA,FL162Q01HA,FL162Q02HA,FL162Q03HA,FL162Q04HA,FL162Q05HA,FL162Q06HA,FL163Q01HA,FL163Q03HA,FL163Q04HA,FL163Q05HA,FL171Q03JA,FL171Q04JA,FL171Q05JA,FL171Q07JA,FL171Q10JA,FL171Q11JA,FL169Q03HA,FL169Q04HA,FL169Q08JA,FL169Q10JA,PROGN,GRADE,SRESPCUR,SRESPRES,RCORE_PERF,RCO1S_PERF,RS2_TEST,VER_DAT_stu,ISCEDP,MCLSIZE,CLSIZE,VER_DAT,clase_lca,score_rendimiento,prob_clase_0,prob_clase_1,prob_clase_2,prob_clase_3,prob_clase_4,prob_clase_5,prob_clase_6
0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,2,4,0,0,3,0,0,0,0,1,2,1,1,0,0,0,0,3,2,3,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,1,2,0,1,2,0,3,1,1,0,0,0,1,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,3,1,1,2,0,1,2,2,0,2,2,2,0,2,2,2,2,1,2,1,2,1,1,1,0,1,3,0,0,0,1,1,1,2,2,0,1,0,0,2,1,0,1,1,3,1,1,1,1,1,0,1,4,4,0,0,418.7367333333333,0.999995458682685,1.2114741457883652e-116,1.5232052772172992e-144,2.6246681661950554e-10,4.827382559193672e-10,4.54057211514943e-06,6.476960833088216e-175
0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,8,1,1,5,2,0,0,0,0,1,0,0,1,1,1,2,2,0,0,0,2,3,3,2,2,2,0,2,2,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,2,0,1,2,2,2,1,2,0,1,1,1,1,3,1,2,2,0,1,2,2,2,2,2,2,2,2,2,2,1,1,1,0,2,0,1,2,2,2,3,2,3,2,2,2,2,3,3,3,1,2,2,0,0,1,0,1,3,1,0,1,1,1,0,1,4,4,0,4,483.97883333333345,4.7727218486737387e-11,5.266104102026476e-117,3.437643379624896e-162,6.111788085827085e-05,0.9999388820714202,5.771867624534309e-34,6.268941228705744e-212
1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,3,2,2,6,1,0,0,0,2,0,0,2,0,0,0,0,3,2,3,3,2,4,3,3,2,3,3,3,3,1,0,0,1,0,0,1,1,0,1,1,1,3,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,1,2,2,1,1,0,0,1,1,1,0,3,1,1,2,0,2,0,2,1,1,1,0,0,2,2,1,0,1,2,0,2,2,1,2,0,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,1,0,0,1,3,1,0,3,2,3,0,1,0,0,0,3,536.6946333333333,2.1970249471478557e-22,1.315224486220759e-66,4.726316682621186e-131,1.0,1.0764303702974864e-17,6.317985579285632e-43,5.921694622345124e-173
1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,2,0,0,2,1,1,1,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,3,3,0,0,1,0,0,0,0,1,1,1,3,0,3,0,0,0,0,2,0,0,1,1,1,1,0,2,2,1,1,0,1,0,1,1,1,1,1,1,1,0,0,2,0,2,0,0,2,2,2,2,0,1,0,1,2,0,1,0,2,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,1,1,1,0,2,2,1,5,342.01513333333327,1.3676370794716089e-07,1.3928978705986228e-57,2.4381896447703433e-98,3.7009440893003004e-21,5.942999436344433e-17,0.9999998632362925,5.7601938697837624e-120
1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,1,0,0,0,0,1,0,2,1,0,0,0,0,2,2,1,0,0,1,0,0,2,1,2,0,0,1,1,1,0,2,1,1,1,0,1,2,0,0,0,1,0,1,1,2,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,2,1,0,0,1,1,1,0,3,3,1,5,343.74586666666676,8.124598071619317e-09,7.374694182803309e-48,9.647298395156086e-98,3.4982238336196553e-22,1.9952880723691496e-19,0.9999999918753986,7.673680478621438e-106
1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,1,2,1,0,0,0,0,0,2,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,3,3,1,1,3,0,2,0,1,0,0,0,3,0,3,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,0,0,1,1,0,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,1,0,1,1,1,0,0,4,4,0,5,354.5040333333333,2.032331718741665e-11,1.0699407124732486e-100,4.811785374675134e-118,5.390060095105253e-22,7.96746409935418e-20,0.9999999999796785,3.4457270089622716e-140
1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,3,0,1,1,1,1,2,2,1,1,0,1,1,1,0,0,0,1,0,2,2,1,1,1,1,2,1,1,0,2,1,1,1,1,3,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,3,0,0,1,1,1,1,1,0,3,1,5,443.79586666666677,0.17401991000705683,1.6794490812072527e-74,8.102828489143711e-140,6.897144681349714e-19,3.8375008153463596e-16,0.8259800899929466,8.855991060655765e-162
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,6,2,2,5,0,0,0,0,0,1,0,0,1,1,1,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,3,3,2,2,2,1,2,2,2,0,0,0,2,2,3,2,2,2,3,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,0,3,0,0,2,2,2,3,2,3,2,2,2,2,0,0,0,0,0,0,1,0,0,0,1,3,4,5,1,1,1,1,1,4,4,1,1,466.2405,1.2728602951886696e-25,1.0,7.511711972130647e-38,1.2797182387933482e-79,2.7778816022146955e-77,6.981479750276137e-73,2.4628100490376722e-24
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,9,2,2,5,1,0,0,0,0,1,1,1,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,1,1,2,2,2,1,2,2,2,1,0,0,3,0,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,3,3,2,3,1,1,0,1,1,1,2,1,1,1,0,1,1,2,1,1,1,2,1,1,0,0,1,2,2,1,0,2,1,1,0,2,2,0,0,0,0,0,1,2,1,0,1,3,4,5,1,1,1,1,1,0,5,1,6,428.7710333333334,4.714271792238965e-64,9.33085727819958e-124,8.901444447183731e-17,1.0891106464928192e-106,2.6504396767663463e-104,3.7444523697288124e-72,1.0
1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,4,2,2,7,0,0,0,0,0,1,0,0,1,1,1,2,3,2,3,3,2,3,3,4,2,2,3,3,3,0,0,0,2,1,0,1,1,0,0,2,3,3,3,3,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,1,2,1,1,0,1,1,2,2,2,2,1,1,1,2,0,2,3,1,1,1,1,2,3,1,2,0,1,1,3,4,3,3,3,0,0,2,0,1,3,3,0,1,1,1,0,1,0,0,0,1,488.7779333333334,4.876835727497691e-25,0.9958771448663786,3.303157409689737e-97,0.004122855133598303,1.968615069852867e-14,2.936367955776612e-35,6.94110780136432e-155
