columna,razon_eliminacion
CM800Q01V,missing >40%
CM800Q01VS,missing >40%
CM982Q01S,missing >40%
CM982Q01TT,missing >40%
CM982Q01F,missing >40%
CM982Q01A,missing >40%
CM982Q01V,missing >40%
CM982Q01VS,missing >40%
CM982Q02S,missing >40%
CM982Q02TT,missing >40%
CM982Q02F,missing >40%
CM982Q02A,missing >40%
CM982Q02V,missing >40%
CM982Q02VS,missing >40%
CM982Q03S,missing >40%
DM982Q03RA,missing >40%
DM982Q03RB,missing >40%
CM982Q03TT,missing >40%
CM982Q03F,missing >40%
CM982Q03A,missing >40%
CM982Q03V,missing >40%
CM982Q03VS,missing >40%
CM982Q04S,missing >40%
DM982Q04R,missing >40%
CM982Q04TT,missing >40%
CM982Q04F,missing >40%
CM982Q04A,missing >40%
CM982Q04V,missing >40%
CM982Q04VS,missing >40%
CM992Q01S,missing >40%
CM992Q01TT,missing >40%
CM992Q01F,missing >40%
CM992Q01A,missing >40%
CM992Q01V,missing >40%
CM992Q01VS,missing >40%
CM992Q02S,missing >40%
CM992Q02TT,missing >40%
CM992Q02F,missing >40%
CM992Q02A,missing >40%
CM992Q02V,missing >40%
CM992Q02VS,missing >40%
DM992Q03C,missing >40%
CM992Q03TT,missing >40%
CM992Q03F,missing >40%
CM992Q03A,missing >40%
CM992Q03V,missing >40%
CM992Q03VS,missing >40%
CM915Q01S,missing >40%
DM915Q01R,missing >40%
CM915Q01TT,missing >40%
CM915Q01F,missing >40%
CM915Q01A,missing >40%
CM915Q01V,missing >40%
CM915Q01VS,missing >40%
CM915Q02S,missing >40%
CM915Q02TT,missing >40%
CM915Q02F,missing >40%
CM915Q02A,missing >40%
CM915Q02V,missing >40%
CM915Q02VS,missing >40%
CM906Q01S,missing >40%
DM906Q01R,missing >40%
CM906Q01TT,missing >40%
CM906Q01F,missing >40%
CM906Q01A,missing >40%
CM906Q01V,missing >40%
CM906Q01VS,missing >40%
DM906Q02C,missing >40%
CM906Q02TT,missing >40%
CM906Q02F,missing >40%
CM906Q02A,missing >40%
CM906Q02V,missing >40%
CM906Q02VS,missing >40%
DM00KQ02C,missing >40%
CM00KQ02TT,missing >40%
CM00KQ02F,missing >40%
CM00KQ02A,missing >40%
CM00KQ02V,missing >40%
CM00KQ02VS,missing >40%
CM909Q01S,missing >40%
CM909Q01TT,missing >40%
CM909Q01F,missing >40%
CM909Q01A,missing >40%
CM909Q01V,missing >40%
CM909Q01VS,missing >40%
CM909Q02S,missing >40%
DM909Q02R,missing >40%
CM909Q02TT,missing >40%
CM909Q02F,missing >40%
CM909Q02A,missing >40%
CM909Q02V,missing >40%
CM909Q02VS,missing >40%
CM909Q03S,missing >40%
CM909Q03TT,missing >40%
CM909Q03F,missing >40%
CM909Q03A,missing >40%
CM909Q03V,missing >40%
CM909Q03VS,missing >40%
CM949Q01S,missing >40%
DM949Q01RA,missing >40%
DM949Q01RB,missing >40%
DM949Q01RC,missing >40%
CM949Q01TT,missing >40%
CM949Q01F,missing >40%
CM949Q01A,missing >40%
CM949Q01V,missing >40%
CM949Q01VS,missing >40%
CM949Q02S,missing >40%
DM949Q02RA,missing >40%
DM949Q02RB,missing >40%
DM949Q02RC,missing >40%
CM949Q02TT,missing >40%
CM949Q02F,missing >40%
CM949Q02A,missing >40%
CM949Q02V,missing >40%
CM949Q02VS,missing >40%
DM949Q03C,missing >40%
CM949Q03TT,missing >40%
CM949Q03F,missing >40%
CM949Q03A,missing >40%
CM949Q03V,missing >40%
CM949Q03VS,missing >40%
CM00GQ01S,missing >40%
CM00GQ01TT,missing >40%
CM00GQ01F,missing >40%
CM00GQ01A,missing >40%
CM00GQ01V,missing >40%
CM00GQ01VS,missing >40%
DM955Q01C,missing >40%
CM955Q01TT,missing >40%
CM955Q01F,missing >40%
CM955Q01A,missing >40%
CM955Q01V,missing >40%
CM955Q01VS,missing >40%
DM955Q02C,missing >40%
CM955Q02TT,missing >40%
CM955Q02F,missing >40%
CM955Q02A,missing >40%
CM955Q02V,missing >40%
CM955Q02VS,missing >40%
CM955Q03S,missing >40%
CM955Q03TT,missing >40%
CM955Q03F,missing >40%
CM955Q03A,missing >40%
CM955Q03V,missing >40%
CM955Q03VS,missing >40%
DM998Q02C,missing >40%
CM998Q02TT,missing >40%
CM998Q02F,missing >40%
CM998Q02A,missing >40%
CM998Q02V,missing >40%
CM998Q02VS,missing >40%
CM905Q01S,missing >40%
DM905Q01RA,missing >40%
DM905Q01RB,missing >40%
CM905Q01TT,missing >40%
CM905Q01F,missing >40%
CM905Q01A,missing >40%
CM905Q01V,missing >40%
CM905Q01VS,missing >40%
DM905Q02C,missing >40%
CM905Q02TT,missing >40%
CM905Q02F,missing >40%
CM905Q02A,missing >40%
CM905Q02V,missing >40%
CM905Q02VS,missing >40%
CM919Q01S,missing >40%
CM919Q01TT,missing >40%
CM919Q01F,missing >40%
CM919Q01A,missing >40%
CM919Q01V,missing >40%
CM919Q01VS,missing >40%
CM919Q02S,missing >40%
CM919Q02TT,missing >40%
CM919Q02F,missing >40%
CM919Q02A,missing >40%
CM919Q02V,missing >40%
CM919Q02VS,missing >40%
CM954Q01S,missing >40%
CM954Q01TT,missing >40%
CM954Q01F,missing >40%
CM954Q01A,missing >40%
CM954Q01V,missing >40%
CM954Q01VS,missing >40%
DM954Q02C,missing >40%
CM954Q02TT,missing >40%
CM954Q02F,missing >40%
CM954Q02A,missing >40%
CM954Q02V,missing >40%
CM954Q02VS,missing >40%
CM954Q04S,missing >40%
CM954Q04TT,missing >40%
CM954Q04F,missing >40%
CM954Q04A,missing >40%
CM954Q04V,missing >40%
CM954Q04VS,missing >40%
CM943Q01S,missing >40%
DM943Q01R,missing >40%
CM943Q01TT,missing >40%
CM943Q01F,missing >40%
CM943Q01A,missing >40%
CM943Q01V,missing >40%
CM943Q01VS,missing >40%
CM943Q02S,missing >40%
CM943Q02TT,missing >40%
CM943Q02F,missing >40%
CM943Q02A,missing >40%
CM943Q02V,missing >40%
CM943Q02VS,missing >40%
DM953Q02C,missing >40%
CM953Q02TT,missing >40%
CM953Q02F,missing >40%
CM953Q02A,missing >40%
CM953Q02V,missing >40%
CM953Q02VS,missing >40%
CM953Q03S,missing >40%
CM953Q03TT,missing >40%
CM953Q03F,missing >40%
CM953Q03A,missing >40%
CM953Q03V,missing >40%
CM953Q03VS,missing >40%
DM953Q04C,missing >40%
CM953Q04TT,missing >40%
CM953Q04F,missing >40%
CM953Q04A,missing >40%
CM953Q04V,missing >40%
CM953Q04VS,missing >40%
CM948Q01S,missing >40%
DM948Q01R,missing >40%
CM948Q01TT,missing >40%
CM948Q01F,missing >40%
CM948Q01A,missing >40%
CM948Q01V,missing >40%
CM948Q01VS,missing >40%
CM948Q02S,missing >40%
CM948Q02TT,missing >40%
CM948Q02F,missing >40%
CM948Q02A,missing >40%
CM948Q02V,missing >40%
CM948Q02VS,missing >40%
CM948Q03S,missing >40%
CM948Q03TT,missing >40%
CM948Q03F,missing >40%
CM948Q03A,missing >40%
CM948Q03V,missing >40%
CM948Q03VS,missing >40%
CM936Q01S,missing >40%
CM936Q01TT,missing >40%
CM936Q01F,missing >40%
CM936Q01A,missing >40%
CM936Q01V,missing >40%
CM936Q01VS,missing >40%
DM936Q02C,missing >40%
CM936Q02TT,missing >40%
CM936Q02F,missing >40%
CM936Q02A,missing >40%
CM936Q02V,missing >40%
CM936Q02VS,missing >40%
CM939Q02S,missing >40%
DM939Q02R,missing >40%
CM939Q02TT,missing >40%
CM939Q02F,missing >40%
CM939Q02A,missing >40%
CM939Q02V,missing >40%
CM939Q02VS,missing >40%
CM967Q01S,missing >40%
CM967Q01TT,missing >40%
CM967Q01F,missing >40%
CM967Q01A,missing >40%
CM967Q01V,missing >40%
CM967Q01VS,missing >40%
CM967Q03S,missing >40%
DM967Q03RA,missing >40%
DM967Q03RB,missing >40%
CM967Q03TT,missing >40%
CM967Q03F,missing >40%
CM967Q03A,missing >40%
CM967Q03V,missing >40%
CM967Q03VS,missing >40%
CMA105Q01S,missing >40%
DMA105Q01R,missing >40%
CMA105Q01TT,missing >40%
CMA105Q01F,missing >40%
CMA105Q01A,missing >40%
CMA105Q01V,missing >40%
CMA105Q01VS,missing >40%
CMA105Q02S,missing >40%
DMA105Q02R,missing >40%
CMA105Q02TT,missing >40%
CMA105Q02F,missing >40%
CMA105Q02A,missing >40%
CMA105Q02V,missing >40%
CMA105Q02VS,missing >40%
CMA105Q03S,missing >40%
DMA105Q03RA,missing >40%
DMA105Q03RB,missing >40%
CMA105Q03TT,missing >40%
CMA105Q03F,missing >40%
CMA105Q03A,missing >40%
CMA105Q03V,missing >40%
CMA105Q03VS,missing >40%
CMA105Q04S,missing >40%
DMA105Q04RA,missing >40%
DMA105Q04RB,missing >40%
DMA105Q04RC,missing >40%
CMA105Q04TT,missing >40%
CMA105Q04F,missing >40%
CMA105Q04A,missing >40%
CMA105Q04V,missing >40%
CMA105Q04VS,missing >40%
CMA105Q05S,missing >40%
DMA105Q05R,missing >40%
CMA105Q05TT,missing >40%
CMA105Q05F,missing >40%
CMA105Q05A,missing >40%
CMA105Q05V,missing >40%
CMA105Q05VS,missing >40%
CMA110Q01S,missing >40%
DMA110Q01R,missing >40%
CMA110Q01TT,missing >40%
CMA110Q01F,missing >40%
CMA110Q01A,missing >40%
CMA110Q01V,missing >40%
CMA110Q01VS,missing >40%
CMA110Q02S,missing >40%
DMA110Q02R,missing >40%
CMA110Q02TT,missing >40%
CMA110Q02F,missing >40%
CMA110Q02A,missing >40%
CMA110Q02V,missing >40%
CMA110Q02VS,missing >40%
DMA110Q03C,missing >40%
CMA110Q03TT,missing >40%
CMA110Q03F,missing >40%
CMA110Q03A,missing >40%
CMA110Q03V,missing >40%
CMA110Q03VS,missing >40%
CMA125Q01S,missing >40%
CMA125Q01TT,missing >40%
CMA125Q01F,missing >40%
CMA125Q01A,missing >40%
CMA125Q01V,missing >40%
CMA125Q01VS,missing >40%
CMA125Q02S,missing >40%
CMA125Q02TT,missing >40%
CMA125Q02F,missing >40%
CMA125Q02A,missing >40%
CMA125Q02V,missing >40%
CMA125Q02VS,missing >40%
CMA125Q03S,missing >40%
DMA125Q03R,missing >40%
CMA125Q03TT,missing >40%
CMA125Q03F,missing >40%
CMA125Q03A,missing >40%
CMA125Q03V,missing >40%
CMA125Q03VS,missing >40%
CMA140Q01S,missing >40%
CMA140Q01TT,missing >40%
CMA140Q01F,missing >40%
CMA140Q01A,missing >40%
CMA140Q01V,missing >40%
CMA140Q01VS,missing >40%
CMA140Q02S,missing >40%
DMA140Q02R,missing >40%
CMA140Q02TT,missing >40%
CMA140Q02F,missing >40%
CMA140Q02A,missing >40%
CMA140Q02V,missing >40%
CMA140Q02VS,missing >40%
CMA140Q03S,missing >40%
DMA140Q03R,missing >40%
CMA140Q03TT,missing >40%
CMA140Q03F,missing >40%
CMA140Q03A,missing >40%
CMA140Q03V,missing >40%
CMA140Q03VS,missing >40%
CMA146Q01S,missing >40%
DMA146Q01R,missing >40%
CMA146Q01TT,missing >40%
CMA146Q01F,missing >40%
CMA146Q01A,missing >40%
CMA146Q01V,missing >40%
CMA146Q01VS,missing >40%
CMA146Q02S,missing >40%
DMA146Q02R,missing >40%
CMA146Q02TT,missing >40%
CMA146Q02F,missing >40%
CMA146Q02A,missing >40%
CMA146Q02V,missing >40%
CMA146Q02VS,missing >40%
DMA146Q03C,missing >40%
CMA146Q03TT,missing >40%
CMA146Q03F,missing >40%
CMA146Q03A,missing >40%
CMA146Q03V,missing >40%
CMA146Q03VS,missing >40%
DMA136Q02C,missing >40%
CMA136Q02TT,missing >40%
CMA136Q02F,missing >40%
CMA136Q02A,missing >40%
CMA136Q02V,missing >40%
CMA136Q02VS,missing >40%
CMA136Q03S,missing >40%
DMA136Q03R,missing >40%
CMA136Q03TT,missing >40%
CMA136Q03F,missing >40%
CMA136Q03A,missing >40%
CMA136Q03V,missing >40%
CMA136Q03VS,missing >40%
CMA160Q01S,missing >40%
DMA160Q01RA,missing >40%
DMA160Q01RB,missing >40%
DMA160Q01RC,missing >40%
DMA160Q01RD,missing >40%
CMA160Q01TT,missing >40%
CMA160Q01F,missing >40%
CMA160Q01A,missing >40%
CMA160Q01V,missing >40%
CMA160Q01VS,missing >40%
CMA160Q02S,missing >40%
DMA160Q02RA,missing >40%
DMA160Q02RB,missing >40%
CMA160Q02TT,missing >40%
CMA160Q02F,missing >40%
CMA160Q02A,missing >40%
CMA160Q02V,missing >40%
CMA160Q02VS,missing >40%
CMA160Q03S,missing >40%
DMA160Q03R,missing >40%
CMA160Q03TT,missing >40%
CMA160Q03F,missing >40%
CMA160Q03A,missing >40%
CMA160Q03V,missing >40%
CMA160Q03VS,missing >40%
CMA133Q01S,missing >40%
DMA133Q01R,missing >40%
CMA133Q01TT,missing >40%
CMA133Q01F,missing >40%
CMA133Q01A,missing >40%
CMA133Q01V,missing >40%
CMA133Q01VS,missing >40%
CMA133Q02S,missing >40%
CMA133Q02TT,missing >40%
CMA133Q02F,missing >40%
CMA133Q02A,missing >40%
CMA133Q02V,missing >40%
CMA133Q02VS,missing >40%
CMA148Q01S,missing >40%
DMA148Q01R,missing >40%
CMA148Q01TT,missing >40%
CMA148Q01F,missing >40%
CMA148Q01A,missing >40%
CMA148Q01V,missing >40%
CMA148Q01VS,missing >40%
CMA148Q02S,missing >40%
DMA148Q02R,missing >40%
CMA148Q02TT,missing >40%
CMA148Q02F,missing >40%
CMA148Q02A,missing >40%
CMA148Q02V,missing >40%
CMA148Q02VS,missing >40%
DMA148Q03C,missing >40%
CMA148Q03TT,missing >40%
CMA148Q03F,missing >40%
CMA148Q03A,missing >40%
CMA148Q03V,missing >40%
CMA148Q03VS,missing >40%
CMA114Q01S,missing >40%
DMA114Q01R,missing >40%
CMA114Q01TT,missing >40%
CMA114Q01F,missing >40%
CMA114Q01A,missing >40%
CMA114Q01V,missing >40%
CMA114Q01VS,missing >40%
CMA114Q03S,missing >40%
DMA114Q03RA,missing >40%
DMA114Q03RB,missing >40%
DMA114Q03RC,missing >40%
DMA114Q03RD,missing >40%
DMA114Q03RE,missing >40%
CMA114Q03TT,missing >40%
CMA114Q03F,missing >40%
CMA114Q03A,missing >40%
CMA114Q03V,missing >40%
CMA114Q03VS,missing >40%
CMA114Q04S,missing >40%
CMA114Q04TT,missing >40%
CMA114Q04F,missing >40%
CMA114Q04A,missing >40%
CMA114Q04V,missing >40%
CMA114Q04VS,missing >40%
CMA150Q01S,missing >40%
DMA150Q01R,missing >40%
CMA150Q01TT,missing >40%
CMA150Q01F,missing >40%
CMA150Q01A,missing >40%
CMA150Q01V,missing >40%
CMA150Q01VS,missing >40%
CMA150Q02S,missing >40%
DMA150Q02R,missing >40%
CMA150Q02TT,missing >40%
CMA150Q02F,missing >40%
CMA150Q02A,missing >40%
CMA150Q02V,missing >40%
CMA150Q02VS,missing >40%
DMA150Q03C,missing >40%
CMA150Q03TT,missing >40%
CMA150Q03F,missing >40%
CMA150Q03A,missing >40%
CMA150Q03V,missing >40%
CMA150Q03VS,missing >40%
CMA161Q01S,missing >40%
DMA161Q01RA,missing >40%
DMA161Q01RB,missing >40%
DMA161Q01RC,missing >40%
CMA161Q01TT,missing >40%
CMA161Q01F,missing >40%
CMA161Q01A,missing >40%
CMA161Q01V,missing >40%
CMA161Q01VS,missing >40%
CMA161Q02S,missing >40%
DMA161Q02R,missing >40%
CMA161Q02TT,missing >40%
CMA161Q02F,missing >40%
CMA161Q02A,missing >40%
CMA161Q02V,missing >40%
CMA161Q02VS,missing >40%
CMA161Q03S,missing >40%
DMA161Q03RA,missing >40%
DMA161Q03RB,missing >40%
CMA161Q03TT,missing >40%
CMA161Q03F,missing >40%
CMA161Q03A,missing >40%
CMA161Q03V,missing >40%
CMA161Q03VS,missing >40%
DMA161Q04C,missing >40%
CMA161Q04TT,missing >40%
CMA161Q04F,missing >40%
CMA161Q04A,missing >40%
CMA161Q04V,missing >40%
CMA161Q04VS,missing >40%
CMA139Q01S,missing >40%
DMA139Q01R,missing >40%
CMA139Q01TT,missing >40%
CMA139Q01F,missing >40%
CMA139Q01A,missing >40%
CMA139Q01V,missing >40%
CMA139Q01VS,missing >40%
CMA139Q02S,missing >40%
DMA139Q02R,missing >40%
CMA139Q02TT,missing >40%
CMA139Q02F,missing >40%
CMA139Q02A,missing >40%
CMA139Q02V,missing >40%
CMA139Q02VS,missing >40%
CMA138Q01S,missing >40%
DMA138Q01R,missing >40%
CMA138Q01TT,missing >40%
CMA138Q01F,missing >40%
CMA138Q01A,missing >40%
CMA138Q01V,missing >40%
CMA138Q01VS,missing >40%
CMA138Q02S,missing >40%
DMA138Q02R,missing >40%
CMA138Q02TT,missing >40%
CMA138Q02F,missing >40%
CMA138Q02A,missing >40%
CMA138Q02V,missing >40%
CMA138Q02VS,missing >40%
CMA127Q01S,missing >40%
CMA127Q01TT,missing >40%
CMA127Q01F,missing >40%
CMA127Q01A,missing >40%
CMA127Q01V,missing >40%
CMA127Q01VS,missing >40%
DMA127Q02C,missing >40%
CMA127Q02TT,missing >40%
CMA127Q02F,missing >40%
CMA127Q02A,missing >40%
CMA127Q02V,missing >40%
CMA127Q02VS,missing >40%
CMA127Q03S,missing >40%
DMA127Q03R,missing >40%
CMA127Q03TT,missing >40%
CMA127Q03F,missing >40%
CMA127Q03A,missing >40%
CMA127Q03V,missing >40%
CMA127Q03VS,missing >40%
CMA162Q01S,missing >40%
