ST250Q02JA,ST250Q03JA,ST250Q05JA,ST006Q02JA,ST006Q03JA,ST008Q01JA,ST008Q02JA,ST008Q03JA,SC183Q02JA,SC183Q04JA,SC184Q01JA,SC184Q02JA,SC184Q03JA,SC184Q04JA,SC184Q05JA,SC184Q06JA,SC184Q07JA,SC215Q01JA,SC217Q04JA,SC217Q05JA,PRIVATESCH,ST250D06JA,ST250D07JA,ST251D08JA,ST251D09JA,ST259Q01JA,ST251Q03JA,ST251Q04JA,ST254Q01JA,ST254Q06JA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST268Q07JA,ST268Q08JA,ST268Q09JA,ST337Q03JA,ST337Q05JA,ST337Q08JA,SC182Q06WA02,SC182Q07JA02,SC182Q08JA02,SC172Q04JA,SC172Q07JA,SC188Q03JA,SC202Q01JA,SC202Q02JA,SC202Q03JA,SC202Q04JA,SC202Q05JA,SC202Q08JA,SC202Q10JA,SC202Q11JA,SC202Q12JA,SC204Q01JA,SC204Q02JA,SC204Q05JA,SC205Q01JA,SC205Q02JA,SC205Q03JA,SC205Q07JA,SC208Q01JA,SC208Q02JA,SC208Q03JA,SC208Q04JA,SC208Q07JA,SC208Q08JA,SC208Q09JA,SC216Q02JA,SC216Q03JA,SC216Q05JA,SC216Q06JA,SC216Q07JA,SC216Q09JA,SC223Q05JA,SC223Q09JA,SCHLTYPE,SCSUPRTED,FL164Q02HA,FL164Q03HA,FL164Q04HA,FL164Q05HA,FL164Q06HA,FL164Q07HA,FL164Q08HA,FL164Q11HA,FL164Q15HA,FL164Q16HA,FL166Q05HA,FL166Q06HA,FL166Q07HA,FL174Q05JA,FL174Q07JA,FL167Q01HA,FL167Q05HA,FL162Q01HA,FL162Q02HA,FL162Q03HA,FL162Q04HA,FL162Q05HA,FL162Q06HA,FL163Q01HA,FL163Q03HA,FL163Q04HA,FL163Q05HA,FL171Q03JA,FL171Q04JA,FL171Q05JA,FL171Q10JA,FL171Q11JA,FL169Q03HA,FL169Q04HA,FL172Q01JA,PROGN,GRADE,SRESPCUR,SRESPRES,RS1_TEST,MS2_LEV,VER_DAT_stu,VER_DAT,clase_lca,score_rendimiento,prob_clase_0,prob_clase_1,prob_clase_2,prob_clase_3
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,1,1,1,2,2,1,1,0,0,1,2,0,3,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,3,0,0,3,354.5040333333333,1.4952060091369676e-13,2.1697308869771765e-26,4.758825444038471e-101,0.9999999999998437
1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,1,1,1,1,1,2,2,1,1,3,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,2,2,1,1,1,1,2,1,1,0,1,0,1,1,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,1,2,1,1,3,443.79586666666677,1.9429176631440624e-07,5.090154505134228e-12,2.152206373227165e-111,0.9999998057031452
1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,6,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,0,2,3,1,1,4,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,3,2,2,0,0,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,0,3,0,0,2,2,2,3,2,3,2,2,2,2,0,0,0,0,0,1,0,2,1,3,4,4,1,1,1,1,2,466.2405,6.83372482921632e-104,3.710748489208402e-101,1.0,8.441807582140888e-121
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,0,2,1,1,0,3,1,1,0,0,0,0,2,0,3,4,0,0,0,1,1,1,1,1,2,2,1,1,0,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,3,2,0,1,0,1,1,3,292.33046666666667,6.4487883832434075e-06,1.9832226022734468e-10,3.1111582586388145e-69,0.9999935510132943
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,1,0,2,1,2,2,2,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,2,1,2,2,0,1,2,1,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,0,0,3,359.3989333333333,5.624883413008175e-08,1.0797917446043664e-08,8.368348082442908e-68,0.9999999329532465
1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,3,0,1,1,2,0,0,0,0,0,2,0,1,1,0,1,1,1,1,2,2,1,1,0,0,1,2,1,0,2,0,0,1,1,0,1,2,1,0,0,0,2,0,1,1,1,1,0,1,2,3,0,0,2,0,1,3,0,3,0,0,1,1,0,0,0,0,0,0,0,2,1,3,2,0,1,4,0,0,0,650.7266666666667,0.9900783407439312,1.813617759051364e-08,5.6747421182540506e-70,0.00992164111989695
1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2,2,6,2,2,1,2,0,0,0,1,2,0,1,0,2,2,0,0,0,0,0,3,0,0,7,0,1,0,0,2,3,2,2,1,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,3,0,0,1,1,1,2,2,0,0,2,2,0,0,2,2,2,1,1,1,2,3,0,0,3,3,3,2,3,2,3,0,0,0,2,0,0,0,0,2,0,2,1,3,4,4,1,0,1,1,2,494.2154,1.1060589929785903e-112,2.1249323634479057e-102,1.0,1.736326405024561e-123
0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,6,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,0,2,1,2,2,2,2,1,1,2,2,2,2,1,0,1,1,2,3,1,1,1,1,0,0,2,0,1,1,1,2,1,3,2,2,0,0,0,0,0,432.0324333333335,0.9995272160706598,1.0205044252397237e-13,8.42989642224025e-75,0.0004727839292373345
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,2,0,0,0,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,2,2,0,2,1,0,0,0,2,1,2,1,0,3,0,2,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,2,1,3,1,1,3,0,1,1,3,365.35299999999995,7.406545498317548e-10,3.529912313686801e-17,6.839625195726075e-113,0.9999999992593445
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,3,3,0,0,0,1,1,1,0,0,0,0,0,3,1,1,3,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,2,1,3,2,0,1,0,1,1,3,308.3847,8.111503614969297e-13,8.96837903829418e-18,1.8059728459382209e-99,0.99999999999919
